period,date,time,ped,cross,headway,speed,spcu,flow,case,shared,oneway,park,mark,trees,bollards,width,cross_y,s_width,inters,bench,obst,lev_segr
150,"Saturday, June 19, 2021",13:26:00,10,5,0.3,31.5,2.0,200.0,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
151,"Saturday, June 19, 2021",13:28:00,11,0,0.19,33.67,4.0,315.7894737,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
152,"Saturday, June 19, 2021",13:33:00,6,0,0.35,29.0,4.0,171.4285714,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
153,"Saturday, June 19, 2021",13:35:00,9,1,0.2,17.0,7.0,300.0,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
154,"Saturday, June 19, 2021",13:37:00,8,1,0.13,28.86,8.0,461.53846150000004,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
155,"Saturday, June 19, 2021",13:39:00,12,2,0.44,22.0,2.0,136.36363640000002,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
156,"Saturday, June 19, 2021",13:42:00,8,1,1.0,29.0,0.0,60.0,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
157,"Saturday, June 19, 2021",13:46:00,7,1,0.12,29.25,5.0,500.0,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
158,"Saturday, June 19, 2021",13:47:00,5,3,0.11,37.25,4.0,545.4545455,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
159,"Saturday, June 19, 2021",18:30:00,2,0,0.53,22.5,1.5,113.20754720000001,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
160,"Saturday, June 19, 2021",18:32:00,10,2,0.09,37.5,2.0,666.6666667000001,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
161,"Saturday, June 19, 2021",18:34:00,13,3,0.36,36.0,2.5,166.66666669999998,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
162,"Saturday, June 19, 2021",18:38:00,12,1,0.28,36.0,4.0,214.28571430000002,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
163,"Saturday, June 19, 2021",18:41:00,12,0,0.34,32.25,4.5,176.4705882,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
164,"Saturday, June 19, 2021",18:43:00,9,1,0.15,42.0,4.0,400.0,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
165,"Saturday, June 19, 2021",18:46:00,7,2,0.56,33.5,2.0,107.1428571,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
166,"Saturday, June 19, 2021",18:50:00,6,0,1.0,29.0,0.0,60.0,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
167,"Saturday, June 19, 2021",18:53:00,13,3,1.0,29.0,0.0,60.0,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
168,"Saturday, June 19, 2021",18:55:00,12,0,0.25,28.8,4.5,240.0,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
169,"Saturday, June 19, 2021",18:58:00,16,4,0.21,36.5,3.5,285.7142857,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
170,"Saturday, June 19, 2021",19:01:00,15,3,0.12,32.29,6.5,500.0,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
171,"Saturday, June 19, 2021",19:03:00,13,2,0.63,31.0,2.0,95.23809524,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
172,"Saturday, June 19, 2021",19:05:00,15,2,0.39,30.25,3.5,153.84615380000002,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
173,"Saturday, June 19, 2021",19:08:00,8,3,0.2,29.4,4.0,300.0,covnaf,0,1,1,1,1,0,7.0,1,3.5,999,0,0,1
