case,flow,speed,dspeed,lspeed,comply,ped,cross,shared,oneway,lanes,mark,trees,bollards,width,cross_y,s_width,bench,obst,lev_segr,vis_segr,pedcross,shpedspace,shped
lsho,120,7.728753247,-1.212324775,-2.271246753,0.772875325,360,30,1,1,1,1,1,0,3,0,3,1,0,0,1,0.083333333,0.666666667,0.75
lsho,240,7.68380791,-1.257270112,-2.31619209,0.768380791,180,60,1,1,1,1,1,0,3,0,3,1,0,0,1,0.333333333,0.666666667,0.428571429
lsho,90,10.23861702,1.297538998,0.23861702,1.023861702,420,180,1,1,1,1,1,0,3,0,3,1,0,0,1,0.428571429,0.666666667,0.823529412
lsho,360,6.951367292,-1.98971073,-3.048632708,0.695136729,330,90,1,1,1,1,1,0,3,0,3,1,0,0,1,0.272727273,0.666666667,0.47826087
lsho,270,9.38465736,0.443579338,-0.61534264,0.938465736,480,60,1,1,1,1,1,0,3,0,3,1,0,0,1,0.125,0.666666667,0.64
lsho,240,9.779182609,0.838104587,-0.220817391,0.977918261,330,30,1,1,1,1,1,0,3,0,3,1,0,0,1,0.090909091,0.666666667,0.578947368
lsho,270,7.527342048,-1.413735974,-2.472657952,0.752734205,180,30,1,1,1,1,1,0,3,0,3,1,0,0,1,0.166666667,0.666666667,0.4
lsho,180,5.603574561,-3.337503461,-4.396425439,0.560357456,240,60,1,1,1,1,1,0,3,0,3,1,0,0,1,0.25,0.666666667,0.571428571
lsho,240,6.636090794,-2.304987228,-3.363909206,0.663609079,300,30,1,1,1,1,1,0,3,0,3,1,0,0,1,0.1,0.666666667,0.555555556
lsho,330,8.345592287,-0.595485735,-1.654407713,0.834559229,240,0,1,1,1,1,1,0,3,0,3,1,0,0,1,0,0.666666667,0.421052632
lsho,240,8.019131054,-0.921946968,-1.980868946,0.801913105,150,60,1,1,1,1,1,0,3,0,3,1,0,0,1,0.4,0.666666667,0.384615385
lsho,240,9.150833333,0.209755311,-0.849166667,0.915083333,180,30,1,1,1,1,1,0,3,0,3,1,0,0,1,0.166666667,0.666666667,0.428571429
lsho,150,6.789946237,-2.151131785,-3.210053763,0.678994624,90,30,1,1,1,1,1,0,3,0,3,1,0,0,1,0.333333333,0.666666667,0.375
lsho,60,8.009918033,-0.931159989,-1.990081967,0.800991803,210,120,1,1,1,1,1,0,3,0,3,1,0,0,1,0.571428571,0.666666667,0.777777778
lsho,210,9.931791045,0.990713023,-0.068208955,0.993179105,120,60,1,1,1,1,1,0,3,0,3,1,0,0,1,0.5,0.666666667,0.363636364
lsho,120,11.18883077,2.247752748,1.18883077,1.118883077,180,60,1,1,1,1,1,0,3,0,3,1,0,0,1,0.333333333,0.666666667,0.6
lsho,300,8.526055777,-0.415022245,-1.473944223,0.852605578,180,0,1,1,1,1,1,0,3,0,3,1,0,0,1,0,0.666666667,0.375
lsho,90,8.409050847,-0.532027175,-1.590949153,0.840905085,180,30,1,1,1,1,1,0,3,0,3,1,0,0,1,0.166666667,0.666666667,0.666666667
lsho,210,10.04197987,1.100901848,0.04197987,1.004197987,150,30,1,1,1,1,1,0,3,0,3,1,0,0,1,0.2,0.666666667,0.416666667
lsho,120,6.334899083,-2.606178939,-3.665100917,0.633489908,210,60,1,1,1,1,1,0,3,0,3,1,0,0,1,0.285714286,0.666666667,0.636363636
lsho,120,9.131801242,0.19072322,-0.868198758,0.913180124,150,0,1,1,1,1,1,0,3,0,3,1,0,0,1,0,0.666666667,0.555555556
mke,90,9.754612069,-3.458040919,-10.24538793,0.487730603,300,30,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0.1,0.538461538,0.769230769
mke,150,17.50925439,4.296601402,-2.49074561,0.87546272,240,60,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0.25,0.538461538,0.615384615
mke,150,16.432827,3.220174012,-3.567173,0.82164135,360,0,1,0,2,1,0,1,6,0,3.5,1,1,1,1,0,0.538461538,0.705882353
